#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Void Rat,1,1,1,Minion,Beast,Rare,DEPLOY,DEPLOY: Add a random card to your hand.,Brings surprises. Not always good surprises.,
2,Clockwork Prodigy,1,1,2,Minion,Mech,Rare,,Gains +1/+1 for each Mech you play this game.,Starts small. Remembers EVERYTHING.,
3,Star Channeler,1,0,3,Minion,,Rare,,Your spells cost (1) less.,Zero attack. Maximum discount. Fragile genius.,
4,Phase Imp,1,1,1,Minion,,Rare,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 1 damage.,Tiny. Untargetable. Annoying beyond its size.,
5,Cosmic Inventor,2,2,3,Minion,,Rare,DEPLOY,DEPLOY: Add a random Legendary minion to your hand. It costs (2) more.,Invents Legendaries. Charges extra.,
6,Bloodfang Hunter,2,3,2,Minion,Beast,Rare,DRAIN,DRAIN.,Bites for 3. Heals for 3. Every turn.,
7,Mirror Entity,2,1,1,Minion,,Rare,DEPLOY,DEPLOY: Become a copy of a random enemy minion.,"Whatever they have, you have too. But cheaper.",
8,Mana Thief,2,2,2,Minion,,Rare,DEPLOY,DEPLOY: Your opponent loses 1 Crystal next turn.,Steals mana. It's a living.,
9,Shielded Construct,2,2,3,Minion,Mech,Rare,"BARRIER, GUARDIAN",BARRIER. GUARDIAN.,Small but defensive perfection.,
10,Echo Wisp,2,2,1,Minion,Elemental,Rare,"ECHO, DEPLOY",ECHO. DEPLOY: Deal 1 damage to all enemies.,Ping. Ping again. Two tiny explosions.,
11,Cosmic Curator,3,2,4,Minion,,Rare,DEPLOY,"DEPLOY: Draw a Mech, a Beast, and an Elemental from your deck.",Curates your collection. Draws your tribes.,
12,Starweaver,3,3,3,Minion,,Rare,DEPLOY,DEPLOY: Discover a spell. It costs (1) less.,Weaves stars into discount spells. Talented.,
13,Ironjaw Enforcer,3,3,4,Minion,,Rare,GUARDIAN,GUARDIAN. Takes 1 less damage from all sources.,Hard jaw. Harder to kill. Hardest to get past.,
14,Spell Eater,3,3,3,Minion,,Rare,,Gains +2/+2 whenever your opponent casts a spell.,Their spells feed it. Cast wisely.,
15,Shadow Dancer,3,3,2,Minion,,Rare,"CLOAK, SWIFT","CLOAK. SWIFT. Whenever this attacks, gain CLOAK again.",Hits. Vanishes. Hits again. Repeat forever.,
16,Graveyard Tender,3,2,4,Minion,,Rare,,LAST WORDS: Summon 2 random minions that died this game that cost (2) or less.,Tends graves. Graves tend to open back up.,
17,Mutagenic Slime,3,2,2,Minion,,Rare,"ADAPT, ADAPT",ADAPT. ADAPT.,Pick two bonuses. On a 3-cost body. Flexible AND cheap.,
18,Cosmic Informant,3,3,3,Minion,,Rare,DEPLOY,DEPLOY: Look at your opponent's hand.,Knowledge is power. Seeing their hand is MORE power.,
19,War Machine Mk II,4,4,4,Minion,Mech,Rare,"SWIFT, DEPLOY",SWIFT. DEPLOY: Deal 2 damage.,Arrives. Shoots. Charges. The premium 4-drop.,
20,Eldritch Horror,4,4,4,Minion,,Rare,,"Whenever this attacks, both players discard a random card.",Mutual destruction. But YOU built for it.,
21,Phoenix Hatchling,4,3,3,Minion,Elemental,Rare,BARRIER,BARRIER. LAST WORDS: Return this to your hand.,Shielded. Recursive. Annoying. Perfect.,
22,Cosmic Tinkerer,4,3,4,Minion,,Rare,DEPLOY,DEPLOY: Transform a card in your hand into one that costs (2) more.,Upgrades your cards. Randomly. Excitingly.,
23,Abyssal Hunter,4,5,3,Minion,,Rare,"CLOAK, LETHAL",CLOAK. LETHAL.,Invisible. Venomous. Extremely problematic.,
24,Mystic Sage,4,3,5,Minion,,Rare,DEPLOY,DEPLOY: SCRY (3). Draw a card.,Arranges the future. Takes a card from it.,
25,Starborne Sentinel,4,4,5,Minion,,Rare,BARRIER,BARRIER.,Premium stats. Premium shield. Premium 4-drop.,
26,Swarm Commander,4,3,3,Minion,,Rare,DEPLOY,DEPLOY: Summon three 1/1 Recruits.,One commander. Three recruits. Instant army.,
27,Cosmic Executioner,5,5,5,Minion,,Rare,DEPLOY,DEPLOY: Destroy a minion with 3 or less Attack.,Executes the weak. Stands menacingly over the rest.,
28,Starfire Drake,5,5,4,Minion,Beast,Rare,"SWIFT, BARRIER",SWIFT. BARRIER.,Fast dragon. Shielded dragon. YOUR dragon.,
29,Arcane Golem,5,4,6,Minion,Mech,Rare,RESONATE,RESONATE: Gain +2/+2.,Gets HUGE in spell decks. Stays huge everywhere.,
30,Soul Reaper,5,5,4,Minion,,Rare,,"Whenever a minion dies, gain +1/+1.",Board clears make it ENORMOUS.,
31,Starweave Guardian,5,3,7,Minion,,Rare,"GUARDIAN, DRAIN",GUARDIAN. DRAIN.,Walls. Heals. Walls some more. Tanks forever.,
32,Cosmic Berserker,5,6,4,Minion,,Rare,SWIFT,SWIFT. Can't attack Heroes until a minion dies.,Angry. Restrained. Until something dies.,
33,Echo Knight,5,4,4,Minion,,Rare,"ECHO, SWIFT",ECHO. SWIFT.,Two 4/4 rushers on turn 10. Can't say no.,
34,Cosmic Juggler,5,4,5,Minion,,Rare,DEPLOY,DEPLOY: Return 2 random enemy minions to their owner's hand.,Juggles enemies right off the board.,
35,Starforge Sentinel,6,5,6,Minion,,Rare,"BARRIER, GUARDIAN",BARRIER. GUARDIAN.,Premium wall. Premium shield. Premium annoyance.,
36,Void Dragon,6,6,5,Minion,Beast,Rare,DEPLOY,DEPLOY: BANISH a minion with 4 or less Attack.,Dragon erasure. Permanent dragon erasure.,
37,Mech Overlord,6,5,6,Minion,Mech,Rare,,Your other Mechs have +2/+2.,Boss Mech buffs all Mechs. Mech hierarchy.,
38,Temporal Devourer,6,6,6,Minion,,Rare,DEPLOY,DEPLOY: Return an enemy minion to their hand. It costs (3) more.,Sends it back. Adds a surcharge. Rude AND effective.,
39,Cosmic Summoner,6,4,5,Minion,,Rare,DEPLOY,DEPLOY: Summon a random minion from your deck that costs (5) or less.,Calls for backup. Backup arrives immediately.,
40,Storm Caller,6,5,5,Minion,Elemental,Rare,DEPLOY,DEPLOY: Deal 3 damage to 2 random enemies.,Calls storms. Storms answer. Enemies regret.,
41,Void Champion,6,6,6,Minion,,Rare,DOUBLE STRIKE,DOUBLE STRIKE.,Twelve damage per turn. From one minion. SIX mana.,
42,Phoenix Risen,6,5,5,Minion,Elemental,Rare,BARRIER,BARRIER. LAST WORDS: Return to your hand. Costs (2) more.,Dies. Comes back. More expensive but still worth it.,
43,Cosmic Warbringer,7,7,6,Minion,,Rare,"SWIFT, DEPLOY",SWIFT. DEPLOY: Give all friendly minions +1/+1.,Arrives with a buff aura. And a bad attitude.,
44,Starborn Hydra,7,5,5,Minion,Beast,Rare,,"Whenever this takes damage, summon a 3/3 Hydra Head.",Hit it. I DARE you. More heads every time.,
45,Void Colossus,7,7,8,Minion,,Rare,DEPLOY,DEPLOY: Destroy an enemy minion. Its controller draws 2 cards.,Kills their best thing. Gives them consolation cards.,
46,Mech Assembler Prime,7,5,7,Minion,Mech,Rare,DEPLOY,DEPLOY: Summon copies of all Mechs that died this game (fills board).,Every dead mech returns. ALL of them.,
47,Ancient Wyrm,7,6,8,Minion,Beast,Rare,"ADAPT, ADAPT",ADAPT. ADAPT. GUARDIAN.,Old dragon. Double adapted. Triple trouble.,
48,Galactic Judge,7,6,6,Minion,,Rare,DEPLOY,DEPLOY: Set all minions' Attack to 3.,Equality through judicial decree. Everything is a 3.,
49,Echo Tyrant,7,6,6,Minion,,Rare,ECHO,ECHO.,Two 6/6s in one turn. Fourteen mana worth of PAIN.,
50,Resurrection Engine,7,4,8,Minion,Mech,Rare,,End of Turn: Summon a random friendly minion that died this game.,"Every turn, a ghost comes back. Not a ghost. A MINION.",
51,Cosmic Devourer,8,8,8,Minion,,Rare,DEPLOY,DEPLOY: Destroy all enemy minions with less Attack than this.,"If it's weaker, it dies. Most things are weaker.",
52,Star Titan,8,7,9,Minion,,Rare,"GUARDIAN, BARRIER, ADAPT",GUARDIAN. BARRIER. ADAPT.,Massive. Shielded. Adaptive. The premium wall.,
53,Abyssal Leviathan,8,8,6,Minion,Beast,Rare,"SWIFT, DRAIN",SWIFT. DRAIN.,Charges in. Heals 8. Every single time.,
54,Omega Construct,8,6,10,Minion,Mech,Rare,GUARDIAN,GUARDIAN. LAST WORDS: Summon two 4/4 Mechs with BARRIER.,Dies into more mechs. More shielded mechs.,
55,Cosmic Hydra,9,8,8,Minion,Beast,Rare,"ADAPT, ADAPT, ADAPT",ADAPT. ADAPT. ADAPT.,Triple evolved. Triple terrifying. Nine mana of pure mutation.,
56,Stellar Annihilator,9,9,7,Minion,,Rare,"SWIFT, DEPLOY",SWIFT. DEPLOY: Deal 5 damage to all enemy minions.,Board clear AND a 9/7 SWIFT body? Santa came early.,
57,Void Titan,9,7,10,Minion,,Rare,"GUARDIAN, PHASE",GUARDIAN. PHASE. DRAIN.,Walls. Can't be targeted. Heals. The ultimate defensive nightmare.,
58,Cosmic Overlord,10,10,10,Minion,,Rare,DEPLOY,"DEPLOY: ALL friendly minions gain +3/+3, BARRIER, and SWIFT.","The ultimate rally cry. Everything gets bigger, shielded, and faster.",
59,Chrono Dragon,10,8,8,Minion,Beast,Rare,"ECHO, SWIFT",ECHO. SWIFT.,Two 8/8s with SWIFT. On one turn. If you have 20 mana. Which you don't. But IMAGINE.,
60,Galaxy Eater,10,10,10,Minion,,Rare,DEPLOY,DEPLOY: Destroy ALL other minions. Deal 5 damage to both Heroes.,Eats the galaxy. Everything dies. Both heroes cry.,
61,Precision Strike,2,,,Spell,,Rare,,"Deal 3 damage to a minion. If it dies, draw 2 cards.",Surgical. Rewarding. If you kill it.,
62,Temporal Shift,2,,,Spell,,Rare,,Return all minions that cost (3) or less to their owners' hands.,Small stuff? Gone. Big stuff? Still there.,
63,Star Cannon,3,,,Spell,,Rare,,Deal 5 damage. Costs (1) less for each card you drew this turn.,Draw cards. Get discounts. Blast faces.,
64,Shadow Strike,3,,,Spell,,Rare,,Deal 5 damage to an undamaged minion.,First hit? Five damage. Pristine targets only.,
65,Mass Barrier,4,,,Spell,,Rare,,Give all friendly minions BARRIER.,Everyone gets a shield. EVERYONE.,
66,Mind Games,4,,,Spell,,Rare,,Copy a random minion from your opponent's deck and summon it.,Surprise! Your best minion works for me now.,
67,Starforged Armor,3,,,Spell,,Rare,,"Give a minion +2/+4, BARRIER, and GUARDIAN.",Full armor package. One spell. Maximum tank.,
68,Cosmic Betrayal,5,,,Spell,,Rare,,Take control of an enemy minion with 3 or less Attack.,Turns traitor. Permanently. Small minions have no loyalty.,
69,Echo Blast,4,,,Spell,,Rare,ECHO,ECHO. Deal 4 damage.,Four damage. Then four MORE damage. Eight total. For eight mana.,
70,Void Singularity,5,,,Spell,,Rare,BANISH,BANISH all enemy minions with 2 or less Attack.,Small minions get ERASED. Tokens? What tokens?,
71,Star Barrage,5,,,Spell,,Rare,,Deal 10 damage randomly split among all enemies.,Ten bolts. Random targets. Pure chaos.,
72,Cosmic Rebirth,5,,,Spell,,Rare,,Summon a random Legendary minion that died this game. Give it +3/+3.,Legendary. Resurrected. BUFFED.,
73,Dimensional Swap,3,,,Spell,,Rare,,Swap a friendly minion with an enemy minion.,Yours is theirs. Theirs is yours. Choose wisely.,
74,Gravitational Pull,6,,,Spell,,Rare,,Take control of an enemy minion. It gains GUARDIAN.,Steal AND make it block for you? Chef's kiss.,
75,Mass Adapt,6,,,Spell,,Rare,,Give all friendly minions ADAPT.,Everything evolves. At the same time.,
76,Void Rift,6,,,Spell,,Rare,,BANISH an enemy minion and a random card from their hand.,Two-for-one erasure. Premium removal.,
77,Cosmic Implosion,7,,,Spell,,Rare,,Destroy all minions. Summon a 1/1 Remnant for each destroyed.,Everything dies. Everything becomes a 1/1. Circle of cosmic life.,
78,Star Nova,7,,,Spell,,Rare,,Deal 6 damage to all enemies. Your Hero takes 3 damage.,Hurts them a LOT. Hurts you a little.,
79,Time Freeze,8,,,Spell,,Rare,,Freeze all enemy minions for 2 turns. Draw 3 cards.,Everything stops. Except your card draw.,
80,Genesis,8,,,Spell,,Rare,,Summon 5 random minions from your deck.,Five minions. From your deck. On the board. RIGHT NOW.,
81,THE VOID TYRANT,5,5,4,Minion,,Epic,,"After your opponent plays a card, BANISH a random card from their hand.",Every move costs them something else.,"STARFORGE — After BANISHing 10 cards: Transform into THE VOID EMPEROR — 8/8, PHASE. After opponent plays a card, BANISH their entire hand. They draw 1."
82,Cosmic Shapeshifter,5,4,4,Minion,,Epic,DEPLOY,DEPLOY: Transform into a copy of any minion on the board. Gain +2/+2.,"Whatever it copies, it does it BETTER.",
83,Starborn Phoenix,6,5,5,Minion,Elemental,Epic,BARRIER,BARRIER. LAST WORDS: Resummon this with +2/+2 and BARRIER. (Once.),Dies gloriously. Returns BIGGER and MORE glorious.,
84,Reality Shaper,6,4,6,Minion,,Epic,DEPLOY,DEPLOY: Transform all minions in both hands into random ones that cost (2) more.,Rewrites EVERYONE's hand. Chaos is the plan.,
85,Void Amalgam,7,6,6,Minion,,Epic,,Has all keywords of minions that died this game.,"Absorbs dead minions' abilities. The longer the game, the scarier.",
86,Infinite Watcher,7,5,8,Minion,,Epic,,"Whenever you draw a card, deal 2 damage to a random enemy.",Drawing is damage. Card advantage is face advantage.,
87,Galactic Arbiter,8,7,7,Minion,,Epic,DEPLOY,DEPLOY: Both players draw until they have 8 cards. Cards drawn this way cost (2) more.,Fair? Technically. Advantage? ALL yours.,
88,Mech Overlord Prime,8,6,8,Minion,Mech,Epic,DEPLOY,DEPLOY: Transform all Mechs in your hand and deck into 6/6s with BARRIER.,Mech army? PREMIUM mech army.,
89,Beast Primarch,8,7,7,Minion,Beast,Epic,DEPLOY,DEPLOY: Give all Beasts in your hand and deck +3/+3.,Your deck just got MASSIVE. Every beast. EVERYWHERE.,
90,Elemental Lord,8,6,8,Minion,Elemental,Epic,DEPLOY,DEPLOY: Summon a random Elemental for each spell you cast this game. (Max 7.),Spellcaster's best friend. Board filler extraordinaire.,
91,Shadow Sovereign,9,8,8,Minion,,Epic,"CLOAK, DEPLOY",CLOAK. DEPLOY: Give all friendly minions CLOAK.,Your entire board goes invisible. Opponent's nightmare.,
92,Cosmic Reclaimer,9,7,7,Minion,,Epic,DEPLOY,DEPLOY: Summon all Legendary minions that died this game.,Every dead legend returns. ALL OF THEM.,
93,Quantum Devourer,9,8,8,Minion,,Epic,"PHASE, DRAIN",PHASE. DRAIN. Gains +2/+2 whenever it attacks.,Untargetable. Self-healing. Self-buffing. Self-sufficient.,
94,Entropy Titan,10,10,10,Minion,,Epic,DEPLOY,DEPLOY: Destroy all other minions. Gain +1/+1 for each destroyed.,Everything dies. It absorbs their stats. The ULTIMATE closer.,
95,Dimensional Anchor,8,5,10,Minion,,Epic,GUARDIAN,GUARDIAN. Enemy minions cost (2) more. Your minions cost (1) less.,The ultimate economic warfare. Taxes THEM. Subsidizes YOU.,
96,World Tree,10,5,15,Minion,Beast,Epic,GUARDIAN,GUARDIAN. Start of Turn: Restore all friendly characters to full Health. Can't attack.,The ultimate healing wall. Everything heals. Every turn.,
97,Cosmic Convergence,6,,,Spell,,Epic,,Discover a card from each of 3 random races. They cost (2) less.,Three races. Three choices. All discounted.,
98,Reality Fracture,7,,,Spell,,Epic,,Transform all enemy minions into random ones that cost (3) less.,Their board becomes random trash. YOUR random trash now.,
99,Omega Blast,8,,,Spell,,Epic,,"Deal 15 damage to a minion. If it dies, deal 5 to adjacent minions.",Overkill is just thorough planning.,
100,Dimensional Collapse,8,,,Spell,,Epic,BANISH,BANISH all minions. Both players draw 3 cards.,Board? GONE. Replaced with fresh cards for everyone.,
101,Star Cataclysm,9,,,Spell,,Epic,,Deal 5 damage to all enemies. Summon a 5/5 Star Titan for each enemy killed.,Kill stuff. Get stuff. Equal exchange of violence.,
102,Cosmic Duplication,7,,,Spell,,Epic,,Choose a friendly minion. Fill your board with copies of it.,One good minion? Now you have SEVEN good minions.,
103,Void Maelstrom,9,,,Spell,,Epic,,BANISH all minions and spells from both hands. Both players draw 5 cards.,Nuclear reset. Everything gone. Fresh start. TOTAL chaos.,
104,Genesis Protocol,10,,,Spell,,Epic,,Fill your board with random Legendary minions.,Seven. Random. LEGENDARIES. Merry Christmas.,
105,THE COSMIC ARBITER,8,8,8,Minion,,Legendary,DEPLOY,DEPLOY: Discover a Legendary from any race. It costs (0).,Judges the cosmos. Offers you a free Legendary as compensation.,
106,THE WORLD ENGINE,9,5,12,Minion,Mech,Legendary,GUARDIAN,GUARDIAN. End of Turn: Transform a random friendly minion into one that costs (3) more. Summon a 3/3 Mech.,Builds worlds. Upgrades minions. Never stops. NEVER.,
107,NEXUS OF ALL THINGS,10,8,10,Minion,,Legendary,DEPLOY,"DEPLOY: For the rest of the game, all cards you draw are copies of your opponent's cards. They cost (1) less.",Your deck becomes THEIR deck. But cheaper. The ultimate mirror match.,
108,THE GREAT DEVOURER,10,12,12,Minion,Beast,Legendary,,Costs (1) less for each minion that died this game. BLITZ.,"By turn 10, this costs 0. And it has 12 Attack. And BLITZ. Sleep tight.",
109,THE STAR FORGER,9,7,7,Minion,,Legendary,DEPLOY,DEPLOY: Add 3 random STARFORGE cards to your hand. They're already in their Forged form.,Skips the grind. Gives you the FINALE. Three pre-Forged legends.,
110,ENTROPY'S END,10,10,10,Minion,,Legendary,DEPLOY,"DEPLOY: For the rest of the game, cards that go to your opponent's discard are BANISHed instead. Your BANISH effects deal 3 damage to the enemy Hero.",The final entropy. Nothing dies. Everything CEASES TO EXIST.,
111,Stardust Forge,3,,,Structure,,Rare,,Your minions have +1 Attack.,Everything hits harder. ALL the time.,
112,Void Beacon,3,,,Structure,,Rare,,Start of Turn: Deal 1 damage to all enemies.,Passive damage. Every turn. No effort required.,
113,Crystal Repository,3,,,Structure,,Rare,,Start of Turn: Gain 1 extra Crystal this turn only.,Free mana. Every turn. THE dream.,
114,Recruitment Center,4,,,Structure,,Rare,,End of Turn: Summon a random 2-cost minion.,Free minions. Every turn. No questions asked.,
115,Guardian Sanctum,4,,,Structure,,Rare,,Your minions with GUARDIAN have +2/+2.,Tanks get BIGGER. Walls get HIGHER.,
116,Armory,3,,,Structure,,Rare,,"Whenever you play a minion, give it +1/+1.",Everything arrives buffed. Shopping bonus.,
117,Scrapyard,2,,,Structure,,Rare,,"Whenever a friendly Mech dies, draw a card.",Mechs die. You draw. Circle of mechanical life.,
118,Beast Pen,3,,,Structure,,Rare,,"Your Beasts have +1/+1. Whenever you play a Beast, draw a card.",Zoo + card draw = best day ever.,
119,Elemental Nexus,4,,,Structure,,Rare,,"Your Elementals have +2 Attack. When one dies, deal 2 damage to a random enemy.",Elementals hit harder. Die louder.,
120,Healing Springs,2,,,Structure,,Rare,,Start of Turn: Restore 2 Health to your Hero.,Passive healing. Every turn. Relaxing AND strategic.,
121,War Drum,4,,,Structure,,Rare,,Your minions have +2 Attack on the turn they're played.,First impressions MATTER. Two extra damage worth of first impressions.,
122,Shield Generator,4,,,Structure,,Rare,,"Whenever you play a minion, give it BARRIER.",Every minion arrives shielded. Premium deployment.,
123,Arcane Library,3,,,Structure,,Rare,,"Whenever you cast a spell, draw a card.",Spells give cards. Cards give spells. The LOOP.,
124,Bounty Board,3,,,Structure,,Rare,,"Whenever a friendly minion kills an enemy minion, gain 1 Crystal this turn.",Murder pays. Literally.,
125,Dark Altar,4,,,Structure,,Rare,,"Whenever a friendly minion dies, deal 2 damage to the enemy Hero.",Death = damage. Every death. EVERY time.,
126,Supply Cache,3,,,Structure,,Rare,,Start of Turn: Draw an extra card.,Two draws per turn. Deck goes FAST.,
127,Training Grounds,4,,,Structure,,Rare,,End of Turn: Give all friendly minions +1/+1.,Everything grows. Every turn. Incrementally terrifying.,
128,Cosmic Antenna,3,,,Structure,,Rare,,Your DEPLOY effects trigger twice.,Battlecries go BOING BOING.,
129,Void Anchor,5,,,Structure,,Rare,,Enemy spells cost (2) more.,Their spells are expensive. YOUR spells aren't. Unfair advantage.,
130,Mana Capacitor,2,,,Structure,,Rare,,End of Turn: Store 1 unspent Crystal (max 3). Start of Turn: Release stored Crystals.,Save mana. Spend later. BANKING.,
131,THE COSMIC FORGE,6,,,Structure,,Epic,,Your STARFORGE conditions progress twice as fast.,Double progress. Half the time. FORGE FASTER.,
132,Dimensional Rift Gate,6,,,Structure,,Epic,,Start of Turn: Summon a random minion from your opponent's deck. It fights for you.,Their deck. Your board. Every turn.,
133,Entropy Field,5,,,Structure,,Epic,,ALL minions lose -1/-1 at the start of each turn. Your Hero gains 2 armor.,Everything decays. You stay protected.,
134,Resurrection Shrine,6,,,Structure,,Epic,,"Whenever a friendly Legendary dies, resummon it at end of turn with 1 Health.",Legendaries never truly die. Not with THIS on the board.,
135,Star Gate,7,,,Structure,,Epic,,Start of Turn: Discover a card from a random race. It costs (0).,Free card. Every turn. From ANY race.,
136,Quantum Stabilizer,5,,,Structure,,Epic,,"Whenever a card is returned to a hand, copy it.",Bounce effects = duplication. Every bounce. EVERY time.,
137,THE STAR FORGE,8,,,Structure,,Legendary,,Start of Turn: Transform a random friendly minion into a random Legendary. End of Turn: Give all Legendaries +2/+2.,Makes Legendaries. Buffs Legendaries. IS Legendary.,
138,THE INFINITY WELL,7,,,Structure,,Legendary,,"Your cards cost (1) less. Whenever you play a card, SCRY (1). Start of Turn: Draw an extra card.",Discounts. Card draw. Deck manipulation. The holy trinity.,
139,NEXUS OF FATE,8,,,Structure,,Legendary,,Your Hero Power costs (0) and triggers twice. Start of Turn: Discover a spell from any race. It costs (0).,Free Hero Powers. Double Hero Powers. Free spells. EVERY TURN.,
140,THE COSMIC ANVIL,9,,,Structure,,Legendary,,"Whenever you play a card, give all friendly minions +1/+1. Your minions have BARRIER.",Play a card. Board grows. Everything shielded. The ultimate engine.,